corridor_id,corridor_nm,year,gdp_value
CY,Chengdu-Chongqing,"2012","215628476"
CY,Chengdu-Chongqing,"2013","239008827"
CY,Chengdu-Chongqing,"2014","265031600"
CY,Chengdu-Chongqing,"2015","282936119"
CY,Chengdu-Chongqing,"2016","316273860"
CY,Chengdu-Chongqing,"2017","358683296"
CY,Chengdu-Chongqing,"2018","393352042"
CY,Chengdu-Chongqing,"2019","428061964"
CY,Chengdu-Chongqing,"2020","451314196"
CY,Chengdu-Chongqing,"2021","505356248"
CY,Chengdu-Chongqing,"2022","519675423"
GS,Guangzhou-Shenzhen,"2012","318811600"
GS,Guangzhou-Shenzhen,"2013","360250800"
GS,Guangzhou-Shenzhen,"2014","391061300"
GS,Guangzhou-Shenzhen,"2015","424495500"
GS,Guangzhou-Shenzhen,"2016","465063900"
GS,Guangzhou-Shenzhen,"2017","512311400"
GS,Guangzhou-Shenzhen,"2018","550866300"
GS,Guangzhou-Shenzhen,"2019","603114500"
GS,Guangzhou-Shenzhen,"2020","625845400"
GS,Guangzhou-Shenzhen,"2021","699770000"
GS,Guangzhou-Shenzhen,"2022","726894300"
HNH,Shanghai-Nanjing-Hangzhou,"2012","734818619"
HNH,Shanghai-Nanjing-Hangzhou,"2013","800979463"
HNH,Shanghai-Nanjing-Hangzhou,"2014","864292478"
HNH,Shanghai-Nanjing-Hangzhou,"2015","922460510"
HNH,Shanghai-Nanjing-Hangzhou,"2016","1006023937"
HNH,Shanghai-Nanjing-Hangzhou,"2017","1114427240"
HNH,Shanghai-Nanjing-Hangzhou,"2018","1212854268"
HNH,Shanghai-Nanjing-Hangzhou,"2019","1291696803"
HNH,Shanghai-Nanjing-Hangzhou,"2020","1370514451"
HNH,Shanghai-Nanjing-Hangzhou,"2021","1558208629"
HNH,Shanghai-Nanjing-Hangzhou,"2022","1622407788"
KG,Beijing-Guangzhou,"2012","642018668"
KG,Beijing-Guangzhou,"2013","708760777"
KG,Beijing-Guangzhou,"2014","771622296"
KG,Beijing-Guangzhou,"2015","831139610"
KG,Beijing-Guangzhou,"2016","904451540"
KG,Beijing-Guangzhou,"2017","995787177.26"
KG,Beijing-Guangzhou,"2018","1091921546"
KG,Beijing-Guangzhou,"2019","1179926414.9"
KG,Beijing-Guangzhou,"2020","1226654125"
KG,Beijing-Guangzhou,"2021","1368523732"
KG,Beijing-Guangzhou,"2022","1418429644"
