corridor_id,corridor_nm,year,ntl_value
GS,Guangzhou-Shenzhen,2012,151511
GS,Guangzhou-Shenzhen,2013,201480
GS,Guangzhou-Shenzhen,2014,202848
GS,Guangzhou-Shenzhen,2015,203839
GS,Guangzhou-Shenzhen,2016,191514
GS,Guangzhou-Shenzhen,2017,215671
GS,Guangzhou-Shenzhen,2018,227207
GS,Guangzhou-Shenzhen,2019,238392
GS,Guangzhou-Shenzhen,2020,253110
GS,Guangzhou-Shenzhen,2021,292834
GS,Guangzhou-Shenzhen,2022,291041
HNH,Shanghai-Nanjing-Hangzhou,2012,303262
HNH,Shanghai-Nanjing-Hangzhou,2013,512845
HNH,Shanghai-Nanjing-Hangzhou,2014,485115
HNH,Shanghai-Nanjing-Hangzhou,2015,497129
HNH,Shanghai-Nanjing-Hangzhou,2016,512128
HNH,Shanghai-Nanjing-Hangzhou,2017,569428
HNH,Shanghai-Nanjing-Hangzhou,2018,585971
HNH,Shanghai-Nanjing-Hangzhou,2019,606650
HNH,Shanghai-Nanjing-Hangzhou,2020,633306
HNH,Shanghai-Nanjing-Hangzhou,2021,676480
HNH,Shanghai-Nanjing-Hangzhou,2022,695607
KG,Beijing-Guangzhou,2012,226563
KG,Beijing-Guangzhou,2013,357050
KG,Beijing-Guangzhou,2014,362207
KG,Beijing-Guangzhou,2015,368717
KG,Beijing-Guangzhou,2016,384088
KG,Beijing-Guangzhou,2017,444288
KG,Beijing-Guangzhou,2018,480454
KG,Beijing-Guangzhou,2019,538679
KG,Beijing-Guangzhou,2020,563880
KG,Beijing-Guangzhou,2021,633412
KG,Beijing-Guangzhou,2022,661494
CY,Chengdu-Chongqing,2012,49705
CY,Chengdu-Chongqing,2013,100643
CY,Chengdu-Chongqing,2014,96566
CY,Chengdu-Chongqing,2015,92342
CY,Chengdu-Chongqing,2016,111501
CY,Chengdu-Chongqing,2017,116041
CY,Chengdu-Chongqing,2018,130168
CY,Chengdu-Chongqing,2019,141718
CY,Chengdu-Chongqing,2020,143983
CY,Chengdu-Chongqing,2021,158011
CY,Chengdu-Chongqing,2022,167984
